"To Date","A la fecha"
"Actions","Acciones"
"Active","Activo"
"Update product's %s %s: %s","Actualizar productos %s %s: %s"
"Add New Rule","Agregar una nueva regla"
"Apply Rules","Aplicar reglas"
"Product Attribute","Atributo del producto"
"Delete Rule","Borrar la regla"
"Expire at: %s","Caduca el: %s"
"Catalog","Cat&aacute;logo"
"Category","Categor&iacute;a"
"Customer registered: %s","Cliente registrado: %s"
"Conditions Combination","Combinaci&oacute;n de condiciones"
"Start at: %s","Comienza el: %s"
"Conditions","Condiciones"
"Conditions (leave blank for all products)","Condiciones (deje en blanco para todos los productos)"
"Attribute Set","Conjunto de atributos"
"Description","Descripci&oacute;n"
"Description: %s","Descripci&oacute;n: %s"
"Date From","Desde fecha"
"Stop further rules processing","Detener el procesamiento de otras reglas"
"Edit Rule","Editar la regla"
"Edit Rule '%s'","Editar la regla '%s'"
"Customer is new buyer: %s","El cliente es un nuevo comprador: %s"
"Shipments","Env&iacute;os"
"Order Shipments","Env&iacute;os de Pedidos"
"This rule no longer exists","Esta regla ya no existe"
"Status","Estado"
"Invoices","Facturas"
"Order Invoices","Facturas de Pedidos"
"Date Expire","Fecha de caducidad"
"Date Start","Fecha de inicio"
"From Date","Fecha desde"
"Customer Groups","Grupos de clientes"
"Save Rule","Guardar la regla"
"Save and Apply","Guardar y aplicar"
"Date To","Hasta fecha"
"There are rules that has been changed but not applied. To see immediate effect in catalog, please click Apply Rules","Hay reglas que han sido cambiadas pero no se han aplicado. Para ver su efecto inmediato en el cat&aacute;logo, presione el boton de aplicar reglas"
"Comments History","Historial de comentarios"
"Order History","Historial de Pedidos"
"ID","ID"
"Inactive","Inactivo"
"Rule Information","Informaci&oacute;n de la regla"
"General Information","Informaci&oacute;n general"
"The page you are trying to save no longer exists","La p&aacute;gina que est&aacute; intentando grabar ya no existe"
"Rule was successfully deleted","La regla fue borrada con &eacute;xito"
"Rule was successfully saved","La regla fue grabada con &eacute;xito"
"Rules were successfully applied","Las reglas fueron aplicadas con &eacute;xito"
"Order Gift Messages","Mensajes de regalo de pedidos"
"Gift Messages","Mensajes para regalo"
"No","No"
"NOT LOGGED IN","NO HA INICIADO SESION"
"Unable to find a page to delete","No se puede encontrar una p&aacute;gina para borrar"
"Unable to apply rules","No se pueden aplicar las reglas"
"Rule Name","Nombre de la regla"
"Name: %s","Nombre: %s"
"Credit Memos","Notas de cr&eacute;dito"
"Order Credit Memos","Notas de Cr&eacute;dito de pedidos"
"New Rule","Nueva regla"
"Options","Opciones"
"Priority","Prioridad"
"Promotions","Promociones"
"Catalog Price Rule","Regla de precio para el cat&aacute;logo"
"Catalog Price Rules","Reglas de precios del cat&aacute;logo"
"Yes","S&iacute;"
"Websites","Sitios web"
