"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">Enlace</a>"
"Access denied to destination folder ""%s""","Acceso denegado a la carpeta de destino ""%s"""
"Starting %s :: %s","Comenzando %s :: %s"
"Declared adapter %s not found","El adaptador declarado %s no fue encontrado"
"File ""%s"" don't exist","El archivo ""%s"" no existe"
"Method ""%s"" not defined in adapter %s","El m&eacute;todo ""%s"" no est&aacute; definido en el adaptador %s"
"Error field mapping! Fields list for mapping is not defined","Error de vinculaci&oacute;n de campos! La lista de campos para crear el v&iacute;nculo no est&aacute; definida"
"Done","Hecho"
"Sheet 1","Hoja 1"
"hour","hora"
"hours","horas"
"Destination folder ""%s"" is not a directory","La carpeta de destino ""%s"" no es un directorio"
"Destination folder ""%s"" does not exist or not access to create","La carpeta de destino ""%s"" no existe o no tiene acceso para crearla"
"Destination folder ""%s"" is not a writeable","La carpeta de destino ""%s"" no tiene permisos de escritura"
"Memory Used: %s","Memoria utilizada: %s"
"Less than a minute","Menos de un minuto"
"minute","minuto"
"minutes","minutos"
"Could not load file: ""%s""","No se pudo cargar el archivo: ""%s"""
"Could not save file: %s","No se pudo guardar el archivo: %s"
"Error occured during file opening: ""%s""","Ocurri&oacute; un error al abrir el archivo: ""%s"""
"Skip undefined row","Omitir fila indefinida"
"Please declare ""adapter"" and ""method"" node first","Por favor declare el nodo de ""adaptador"" y ""m&eacute;todo"" primero"
"Processed records: %s","Registros procesados: %s"
"Total records: %s","Registros totales: %s"
"Loaded successfully: ""%s""","Se carg&oacute; satisfactoriamente: ""%s"""
"Found %d rows","Se encontraron %d filas"
"Saved successfully: ""%s"" [%d byte(s)]","Se guard&oacute; satisfactoriamente: ""%s"" [%d byte(s)]"
"ETA: %s","Tiempo estimado de llegada: %s"
