"%s Item(s)","%s Art&iacute;culo(s)"
"(ver. %s)","(ver. %s)"
"You're currently on:","Actualmente se encuentra en:"
"Items %s to %s of %s total","Art&iacute;culos %s a %s de %s en total"
"Help Us to Keep Magento Healthy","Ay&uacute;denos a mantener saludable a Magento"
"Welcome, %s!","Bienvenido, %s!"
"Close Window","Cerrar la ventana"
"Copyright","Copyright"
"Default Description","Descripci&oacute;n por defecto"
"Header","Encabezado"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Esta es una tienda de demostraci&oacute;n. Cualquier pedido realizado a trav&eacute;s de esta tienda no ser&aacute; procesado ni atendido."
"HTML Head","Head HTML"
"Your Language","Idioma"
"Interface Language","Idioma de la interfase"
"Report All Bugs","Informar todos los errores"
"Skip to Main Content","Ir directamente al contenido principal"
"Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.","Magento es una marca registrada de Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc."
"Show","Mostrar"
"Logo Image Src","Origen de la imagen del logo"
"Previous Page","P&aacute;gina anterior"
"Next Page","P&aacute;gina siguiente"
"Page:","P&aacute;gina:"
"Default Keywords","Palabras clave por defecto"
"Footer","Pie de p&aacute;gina"
"per page","por p&aacute;gina"
"Title Prefix","Prefijo del t&iacute;tulo"
"Default Robots","Robots por defecto"
"Select Store","Seleccionar tienda"
"Title Suffix","Sufijo del t&iacute;tulo"
"Default Title","T&iacute;tulo por defecto"
"Logo Image Alt","Texto alternativo para la imagen del logo"
"Welcome Text","Texto de bienvenida"
"Magento Commerce Demo Store","Tienda de demostraci&oacute;n de Magento"
