"<label>Make Check payable to:</label> %s","<label>Hacer cheque a nombre de:</label> %s"
"<label>Make Check payable to</label>: %s","<label>Hacer cheque a nombre de</label>: %s"
"Year","A&ntilde;o"
"Check / Money order","Cheque / Giro de dinero"
"Zero Subtotal Checkout","El subtotal de la Caja es cero"
"Send Check to","Enviar cheque a"
"Send Check to:","Enviar cheque a:"
"Expiration Date","Fecha de caducidad"
"Expiration Date: %s/%s","Fecha de caducidad: %s/%s"
"Saved CC","Guardado CC"
"Enabled","Habilitado"
"Make Check payable to","Hacer cheque a nombre de"
"Make Check payable to: %s","Hacer cheque a nombre de: %s"
"Payment Methods","M&eacute;todos de pago"
"Month","Mes"
"Credit Card Number","N&uacute;mero de la tarjeta de cr&eacute;dito"
"Credit Card Number: %s","N&uacute;mero de la tarjeta de cr&eacute;dito: %s"
"Credit Card Number: xxxx-%s","N&uacute;mero de la tarjeta de cr&eacute;dito: xxxx-%s"
"Card Verification Number","N&uacute;mero de verificaci&oacute;n de la tarjeta"
"Purchase Order Number","N&uacute;mero del Pedido comprado"
"Purchase Order Number: %s","N&uacute;mero del Pedido comprado: %s"
"Can not configuration for payment method with code: %s","No se puede configurar el m&eacute;todo de pago con el c&oacute;digo: %s"
"Can not retrieve payment info model object.","No se puede recuperar el objeto de modelo de informaci&oacute;n del pago"
"Can not retrieve payment method model object.","No se puede recuperar el objeto de modelo de m&eacute;todo de pago"
"Can not retrieve payment method instance","No se puede recuperar la instancia del m&eacute;todo de pago"
"Name on Card","Nombre en la tarjeta"
"Name on the Card: %s","Nombre en la tarjeta: %s"
"New order status","Nuevo estado del pedido"
"Sort order","Orden de clasificaci&oacute;n"
"Payment from applicable countries","Pago desde los pa&iacute;ses aplicables"
"Payment from Specific countries","Pago desde los pa&iacute;ses especificados"
"Purchase order","Pedido comprado"
"What is this?","Qu&eacute; es esto?"
"Title","T&iacute;tulo"
"Credit Card Type","Tipo de tarjeta de cr&eacute;dito"
"Credit Card Type: %s","Tipo de tarjeta de cr&eacute;dito: %s"
"Credit Card Types","Tipos de tarjeta de cr&eacute;dito"
"Credit Card Verification","Verificaci&oacute;n de la tarjeta de cr&eacute;dito"
