"1 star","1 estrella"
"2 stars","2 estrellas"
"3 stars","3 estrellas"
"4 stars","4 estrellas"
"5 stars","5 estrellas"
"Add New Rating","Agregar una nueva calificaci&oacute;n"
"Delete Rating","Borrar la calificaci&oacute;n"
"Rating with the same title","Calificaci&oacute;n con el mismo t&iacute;tulo"
"Ratings","Calificaciones"
"Edit Rating","Editar la calificaci&oacute;n"
"Option Label","Etiqueta de la opci&oacute;n"
"Save Rating","Guardar calificaci&oacute;n"
"ID","ID"
"Rating Information","Informaci&oacute;n de la calificaci&oacute;n"
"Rating isn't Available","La calificaci&oacute;n no est&aacute; disponible"
"Rating Name","Nombre de la calificaci&oacute;n"
"New Rating","Nueva calificaci&oacute;n"
"Assigned Options","Opciones asignadas"
"Rating Options","Opciones de la calificaci&oacute;n"
"Please select one of each ratings above","Por favor, seleccione una de las calificaciones de arriba"
"Be the first to review this product","Sea el primero en opinar sobre este producto"
"If you do not specify a rating title for a store, the default value will be used.","Si no especifica un t&iacute;tulo de calificaci&oacute;n para una tienda, se utilizar&aacute; el valor por defecto "
"Rating Title","T&iacute;tulo de la calificaci&oacute;n"
"Option Title","T&iacute;tulo de la opci&oacute;n"
"Option Title:","T&iacute;tulo de la opci&oacute;n:"
"Default Value","Valor por defecto"
"Rating Visibility","Visibilidad de la calificaci&oacute;n"
"Visible In","Visible en"
