"Year","A&ntilde;o"
"Updated at","Actualizado en"
"Add to Wishlist","Agregar a la lista de art&iacute;culos de inter&eacute;s"
"Add to Compare","Agregar a la lista de comparaci&oacute;n"
"Add to Cart","Agregar al carrito"
"Last Name","Apellido"
"Items in Cart","Art&iacute;culos en el carrito"
"Items Ordered","Art&iacute;culos pedidos"
"Product Sku","C&oacute;digo del producto"
"Average rating","Calificaci&oacute;n promedio"
"Quantity of Items","Cantidad de art&iacute;culos"
"Stock Qty","Cantidad de existencias"
"Quantity Ordered","Cantidad pedida"
"Shopping Cart","Carrito de compras"
"Carts","Carritos"
"Abandoned carts","Carritos abandonados"
"Customer","Cliente"
"Customers","Clientes"
"Customers by number of orders","Clientes por n&uacute;mero de Pedidos"
"Customers by orders total","Clientes por total de Pedidos"
"Customers that have wishlist: %s%","Clientes que tienen lista de art&iacute;culos de inter&eacute;s: %s%"
"Bought from wishlists","Comprado desde la lista de art&iacute;culos de inter&eacute;s"
"Email","Correo electr&oacute;nico"
"Created at","Creado el"
"CSV","CSV"
"Applied Coupon","Cup&oacute;n aplicado"
"Coupons","Cupones"
"Day","D&iacute;a"
"Discounts","Descuentos"
"Detail","Detalle"
"Tag ""%s"" details","Detalle de etiqueta ""%s"""
"Tag Detail","Detalle de la etiqueta"
"Shipping","Env&iacute;o"
"Submitted On","Enviado el"
"Submitted In","Enviado en"
"Tag","Etiqueta"
"Customers Tags","Etiquetas de los clientes"
"Products Tags","Etiquetas de productos"
"Customer Tags","Etiquetas del cliente"
"Product Tags","Etiquetas del producto"
"Tags submitted to %s","Etiquetas enviadas a %s"
"Tags submited by %s","Etiquetas enviadas por %s"
"Popular Tags","Etiquetas populares"
"Excel","Excel"
"Low stock","Existencia baja"
"Invoiced","Facturado"
"Hits","Hits"
"ID","ID"
"Tax Amount","Importe del impuesto"
"Tax","Impuesto"
"Wishlist Report","Informe de la lista de art&iacute;culos de inter&eacute;s"
"Customers Report","Informe de los clientes"
"Products Report","Informe de los productos"
"Poducts Report","Informe de los productos"
"Sales Report","Informe de ventas"
"Reports","Informes"
"Revenue","Ingresos"
"Guest","Invitado"
"Wishlists","Lista de art&iacute;culos de inter&eacute;s"
"Wishlist vs. Regular Order","Lista de art&iacute;culos de inter&eacute;s vs. Pedido habitual"
"Your Recently Compared","Los que compar&oacute; recientemente"
"Your Recently Viewed","Los que vio recientemente"
"Bestsellers","M&aacute;s vendidos"
"Most viewed","M&aacute;s visto"
"Most Viewed","M&aacute;s visto"
"Month","Mes"
"Show for Current","Mostrar para el actual"
"Number Added","N&uacute;mero agregado"
"Number Purchased","N&uacute;mero comprado"
"Number Fulfilled","N&uacute;mero cumplido"
"Number of Items","N&uacute;mero de art&iacute;culos"
"Number of items bought from a wishlist: %s","N&uacute;mero de art&iacute;culos comprados desde una lista de art&iacute;culos de inter&eacute;s: %s"
"Number of wishlist conversions: %s","N&uacute;mero de conversiones de listas de art&iacute;culos de inter&eacute;s: %s"
"Number of Unique Tags","N&uacute;mero de etiquetas &uacute;nicas"
"Number of wishlists: %s","N&uacute;mero de listas de art&iacute;culos de inter&eacute;s: %s"
"Number of New Accounts","N&uacute;mero de nuevas cuentas"
"Number of Reviews","N&uacute;mero de opiniones"
"Number Of Reviews","N&uacute;mero de opiniones"
"Number of Orders","N&uacute;mero de Pedidos"
"Number of wishlist referrals: %s","N&uacute;mero de referidos de listas de art&iacute;culos de inter&eacute;s: %s"
"Number Of Uses","N&uacute;mero de usos"
"Number Of Historical Uses","N&uacute;mero de usos hist&oacute;ricos"
"Number of times deleted","N&uacute;mero de veces borrado"
"Number of times wishlists have been shared (emailed): %s","N&uacute;mero de veces que las listas de art&iacute;culos de inter&eacute;s fueron compartidas (enviadas por correo): %s"
"Number of Views","N&uacute;mero de vistas"
"Number of Total Tags","N&uacute;mero total de etiquetas"
"Number Viewed","N&uacute;mero visto"
"Name","Nombre"
"First Name","Nombre"
"Tag Name","Nombre de la etiqueta"
"Customer Name","Nombre del cliente"
"Product Name","Nombre del producto"
"New Accounts","Nuevas cuentas"
"Review","Opini&oacute;n"
"Reviews","Opiniones"
"Customers Reviews","Opiniones de los clientes"
"Products Reviews","Opiniones de los productos"
"Product Reviews","Opiniones del producto"
"Orders","Pedidos"
"Popularity","Popularidad"
"Price","Precio"
"Products","Productos"
"Recently Compared Products","Productos comparados recientemente"
"Products in carts","Productos en carritos"
"Recently Viewed Products","Productos vistos recientemente"
"Recently Viewed/Compared Products","Productos vistos/comparados recientemente"
"Refunded","Reembolsado"
"Online Refunded","Reembolso en l&iacute;nea"
"Offline Refunded","Reembolso fuera de l&iacute;nea"
"Results","Resultados"
"Out of stock","Sin existencia"
"Subtotal","Subtotal"
"Search Terms","T&eacute;rminos de b&uacute;squeda"
"Title","T&iacute;tulo"
"Tax Rate","Tasa del impuesto"
"Total","Total"
"Total Shipping","Total de env&iacute;o"
"Total Tags","Total de etiquetas"
"Total invoiced","Total facturado"
"Total invoiced captured","Total facturado capturado"
"Total invoiced not captured","Total facturado no capturado"
"Total Refunded","Total reembolsado"
"Total refunded","Total reembolsado"
"Carrier/Method","Transporte/M&eacute;todo"
"Last Review","Ultima opini&oacute;n"
"Tag use","Uso de la etiqueta"
"Sales","Ventas"
"Visible In","Visible en"
