"%s - Special Discounts","%s - Descuentos especiales"
"%s - Discounts and Coupons","%s - Descuentos y cupones"
"%s has reached a quantity of %s.","%s ha alcanzado la cantidad de %s."
"%s's Wishlist","%s's Lista de art&iacute;culos de inter&eacute;s"
"To:","A:"
"Catalog","Cat&aacute;logo"
"Top Level Category","Categor&iacute;a de m&aacute;ximo nivel"
"Comment: %s<br/>","Comentario: %s<br/>"
"Purchased From: %s","Comprado desde: %s"
"Rss Config","Configuraci&oacute;n Rss"
"Coupons/Discounts","Cupones/Descuentos"
"Discount ","Descuento "
"From:","Desde:"
"Details for %s #%s","Detalles para %s #%s"
"Error in processing xml. %s","Error procesando XML. %s"
"Current Status: %s<br/>","Estado actual: %s<br/>"
"Tags Products","Etiquetas de productos"
"Notified Date: %s<br/>","Fecha de notificaci&oacute;n: %s<br/>"
"RSS Feeds","Feeds RSS"
"Shipping & Handling","Gastos de env&iacute;o"
"Enable RSS","Habilitar RSS"
"Tax","Impuestos"
"Wishlist","Lista de art&iacute;culos de inter&eacute;s"
"Gift Message","Mensaje de regalo"
"Message:","Mensaje:"
"There are no %s.","No hay %s."
"Cannot retrieve the wishlist","No se puede recuperar la lista de art&iacute;culos de inter&eacute;s"
"Customer Name: %s","Nombre del cliente: %s"
"Customer Order Status Notification","Notificaci&oacute;n del estado del Pedido del cliente"
"New Orders","Nuevos Pedidos"
"New Products","Nuevos productos"
"New Products from %s","Nuevos productos de %s"
"Get Feed","Obtener Feed"
"Review: %s <br/>","Opini&oacute;n: %s <br/>"
"Pendng product review(s)","Opinion(es) de productos pendientes"
"Order # %s Notification(s)","Pedido # %s Notificacion(es)"
"Order #%s created at %s","Pedido #%s creado el %s"
"click <a href=""%s"">here</a> to view the review","presionar <a href=""%s"">aqu&iacute;</a> para ver la opini&oacute;n"
"Product: ""%s"" review By: %s","Producto: ""%s"" que opin&oacute;: %s"
"Product: <a href=""%s"">%s</a> <br/>","Producto: <a href=""%s"">%s</a> <br/>"
"Low Stock Products","Productos con existencia baja"
"Special Products","Productos especiales"
"Special/Discount Products","Productos especiales/rebajados"
"Products tagged with %s","Productos etiquetados con %s"
"Summary of review: %s <br/>","Resumen de la opini&oacute;n: %s <br/>"
"Subtotal","Subtotal"
"Grand Total","Suma Total"
"Store: %s <br/>","Tienda: %s <br/>"
"Total: %s<br/>","Total: %s<br/>"
