"Open Chooser","Abrir el selector"
"Add","Agregar"
"Apply","Aplicar"
"Expire at: %s","Caduca el: %s"
"Start at: %s","Comienza el: %s"
"ANY","CUALQUIERA"
"Description: %s","Descripci&oacute;n: %s"
"is","es"
"FALSE","FALSO"
"to","hasta"
"is not","no es"
"Name: %s","Nombre: %s"
"by","por"
"Please choose an action to add...","Por favor, seleccione una acci&oacute;n para agregar…"
"Please choose a condition to add...","Por favor, seleccione una condici&oacute;n para agregar…"
"Remove","Quitar"
"Perform following actions","Realizar las siguientes acciones"
"If %s of these conditions are %s:","Si %s de estas condiciones son %s:"
"ALL","TODO"
"TRUE","VERDADERO"
